"website_id","session_id","visit_id","event_id","hostname","browser","os","device","screen","language","country","region","city","url_path","url_query","utm_source","utm_medium","utm_campaign","utm_content","utm_term","referrer_path","referrer_query","referrer_domain","page_title","gclid","fbclid","msclkid","ttclid","li_fat_id","twclid","event_type","event_name","tag","distinct_id","created_at","job_id"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","de94e63f-1b73-56c0-9c21-1d1a5fad0421","6162800f-1938-4fc5-b551-8ee7d52609d8","76f774a7-3443-48cf-88e7-e39769055bfe","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/","","","","","","","","","","","","","","","","",1,"","","","2023-04-26 17:05:39","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","febfff51-2b36-5a9c-932f-27e12377d622","b7deef63-98fb-4087-8f99-d19695d6b96c","b90ac469-f766-4240-91a1-cd2a82f9d1d6","dev.offerkhao.com","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/","","","","","","","/popular-areas/khilgaon","","","","","","","","","",1,"","","","2023-04-26 17:08:57","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","f8c2cdd6-acac-40f1-9b42-ae84164971c5","d04bb455-304b-49d7-832d-7c5540d9e6d7","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/","","","","","","","/popular-areas/banasree","","","","","","","","","",1,"","","","2023-04-26 17:09:09","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","de94e63f-1b73-56c0-9c21-1d1a5fad0421","6162800f-1938-4fc5-b551-8ee7d52609d8","cd2ac7af-837c-4a05-8b4d-cd7707fa63fb","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/","","","","","","","/popular-areas/khilgaon","","","","","","","","","",1,"","","","2023-04-26 17:11:46","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","de94e63f-1b73-56c0-9c21-1d1a5fad0421","6162800f-1938-4fc5-b551-8ee7d52609d8","7fa878a6-858e-4085-bcfb-b0b68805ade0","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/","","","","","","","/popular-areas/khilgaon","","","","","","","","","",1,"","","","2023-04-26 17:14:59","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","f743bf1f-3985-49c6-b339-b88f0fbad5cd","74e3c76b-68bb-4b61-bbf2-e0794d603590","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 14:28:13","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","727f2f75-fd06-4c83-aad5-46d413e24b82","a6b7784d-005a-4d45-a48e-bf3f06eaba35","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 15:06:06","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","727f2f75-fd06-4c83-aad5-46d413e24b82","e2f48524-a976-4d7c-ba75-ad44d184c9f0","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 15:06:08","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","727f2f75-fd06-4c83-aad5-46d413e24b82","a6c5fc90-3fab-4eef-a49d-b3a6c594f760","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree","","","","","","","/popular-areas/banasree","","localhost","","","","","","","",1,"","","","2023-04-26 15:13:45","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","727f2f75-fd06-4c83-aad5-46d413e24b82","5e3bf9da-e8af-4be1-bb04-ba4f66c255fd","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree","","","","","","","/popular-areas/banasree","","localhost","","","","","","","",1,"","","","2023-04-26 15:13:51","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","febfff51-2b36-5a9c-932f-27e12377d622","14b834b3-3feb-4ecb-8bb5-409de8c67e96","9c63df01-1a6a-4bdb-a43d-a91078c42e3c","dev.offerkhao.com","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/popular-areas/banasree","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 16:51:24","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","febfff51-2b36-5a9c-932f-27e12377d622","14b834b3-3feb-4ecb-8bb5-409de8c67e96","0755b417-acee-4103-8ad9-9b6b39e0113f","dev.offerkhao.com","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/popular-areas/banasree","","","","","","","/popular-areas/banasree/pasta-club-south-banasree","","","","","","","","","",1,"","","","2023-04-26 16:52:39","00000000-0000-0000-0000-000000000000"
